"","人物1","人物2","关系","家族1","家族2"
"160","蒋玉菡","袭人","夫妻","其他","贾家荣国府"
"161","冷子兴","周瑞家的","女婿","其他","其他"
"162","冷子兴","贾雨村","好友","其他","其他"
"163","马道婆","贾宝玉","乾娘","其他","贾家荣国府"
"164","智能儿","秦钟","暧昧","其他","其他"
"165","尤三姐","尤氏继母","女儿","贾家宁国府","贾家宁国府"
"166","尤三姐","尤二姐","妹妹","贾家宁国府","贾家宁国府"
"167","尤三姐","尤二姐","妹妹","贾家宁国府","贾家宁国府"
"168","秦钟","秦邦业","儿子","其他","其他"
"169","秦邦业","秦钟","父亲","其他","其他"
"170","秦邦业","秦可卿","养父","其他","贾家宁国府"
"171","史湘云","贾宝玉","朋友","史家","贾家荣国府"
"172","史湘云","林黛玉","朋友","史家","林家"
"173","史湘云","薛宝钗","朋友","史家","薛家"
"174","史湘云","贾母","孙女","史家","史家"
"175","王子腾","王熙凤","伯父","王家","王家"
"176","贾宝玉","林黛玉","表兄妹","贾家荣国府","林家"
"177","林黛玉","贾宝玉","表兄妹","林家","贾家荣国府"
"178","李纨","贾宝玉","嫂子","贾家荣国府","贾家荣国府"
"179","贾珠","贾宝玉","哥哥","贾家荣国府","贾家荣国府"
"180","贾敏","贾母","女儿","贾家荣国府","史家"
"181","贾敏","贾政","兄妹","贾家荣国府","贾家荣国府"
"182","贾敏","贾赦","兄妹","贾家荣国府","贾家荣国府"
"183","贾政","贾赦","兄弟","贾家荣国府","贾家荣国府"
"184","贾宝玉","贾珠","弟弟","贾家荣国府","贾家荣国府"
"185","贾代善","贾宝玉","爷爷","贾家荣国府","贾家荣国府"
"186","贾宝玉","贾代善","孙子","贾家荣国府","贾家荣国府"
"187","贾母","贾宝玉","奶奶","史家","贾家荣国府"
"188","秦钟","贾宝玉","朋友","其他","贾家荣国府"
